uid,comp_key,fom_ref,rank_mean,rank_entropy
2AgBr-1,Ag1-Br1,1865.1385873465515,276.7245,0.8368091400065818
2HISr-1,H1-I1-Sr1,1861.3072759560341,278.0045,0.8322651692421269
1CBr2Sc2-1,Br2-C1-Sc2,1868.5445364376897,278.6365,0.8302510846946759
2HfBr2-1,Br2-Hf1,1852.6834180350288,279.4185,0.8280249343187275
1AgInP2Se6-1,Ag1-In1-P2-Se6,1853.1422491084065,281.4655,0.8310316029852849
2AlClO-1,Al1-Cl1-O1,1846.7353672589586,281.626,0.8366997877593366
1ZnCl2-2,Cl2-Zn1,1849.546989000816,281.844,0.8354435389365252
1ClSbSe-1,Cl1-Sb1-Se1,1843.7398161079009,282.2405,0.8254480092197389
2HNaSe-1,H1-Na1-Se1,1839.5627699777624,282.9625,0.8368657909092613
1SSeW-1,S1-Se1-W1,1852.565826092938,283.1315,0.8348224329646944
2AsMgS3-1,As1-Mg1-S3,1842.4863055503245,283.3515,0.8374816083317864
2BaHI-1,Ba1-H1-I1,1834.3402061233603,286.911,0.834227231902172
2BrCdS-1,Br1-Cd1-S1,1835.4295074143872,286.919,0.8370994810087898
1HfS2-1,Hf1-S2,1831.4132565141795,287.29,0.8287937846211073
1MoS2-1,Mo1-S2,1832.182282603077,288.707,0.837701488207906
2BiCdIO2-1,Bi1-Cd1-I1-O2,1823.839913873491,288.7315,0.8371596696542538
2IInS-1,I1-In1-S1,1825.3340136645422,289.442,0.8313921777011912
1BaH2Se2-1,Ba1-H2-Se2,1816.3538600347972,290.687,0.8327902581960749
2BrClHf-1,Br1-Cl1-Hf1,1828.1589950894825,290.974,0.8300465830216035
1SeSn-1,Se1-Sn1,1813.4455396276037,293.7955,0.8346764337708937
2BrRhSe-1,Br1-Rh1-Se1,1812.443530339274,294.597,0.8377786711364601
1AgInP2S6-1,Ag1-In1-P2-S6,1809.059424517207,295.0355,0.8374662528991434
1STeIn2-1,In2-S1-Te1,1765.9388003119209,295.165,0.8502646974562983
2Al2Te3-1,Al2-Te3,1821.4329260359684,295.346,0.8423476862190791
1CoLiAs2Se6-1,As2-Co1-Li1-Se6,1770.6270174765025,296.5665,0.8601804838596437
2CdCl-1,Cd1-Cl1,1797.1170850811081,296.8595,0.8363382869903647
2BrIrSe-2,Br1-Ir1-Se1,1804.4501911252275,299.1675,0.8312942517241135
1BrClGe2Se2-1,Br1-Cl1-Ge2-Se2,1793.8559657288029,299.324,0.8287294993596365
1CHf2O2-1,C1-Hf2-O2,1792.8985500375516,299.741,0.8302169968827313
1ISbTe-1,I1-Sb1-Te1,1798.498270480554,300.421,0.8232629542830349
2AlSiTe3-1,Al1-Si1-Te3,1796.871425554833,301.4695,0.832982168481303
2BaBrF-1,Ba1-Br1-F1,1784.8651277524614,302.887,0.8375929547843108
1CuSbP2S6-1,Cu1-P2-S6-Sb1,1777.581334932156,304.4795,0.8353385931365646
1CdCl2-1,Cd1-Cl2,1774.769299572476,305.5555,0.8350397859159547
1CdInTlS4-1,Cd1-In1-S4-Tl1,1692.1396375291886,306.117,0.8784636157176537
1STeI2In2-1,I2-In2-S1-Te1,1771.89736435007,306.6475,0.8378667823402206
2BaClI-1,Ba1-Cl1-I1,1768.6248934204539,306.8745,0.8337988309782742
1HgI2S2Sn2-1,Hg1-I2-S2-Sn2,1766.1547734681342,308.5855,0.8342001626883697
2NiTe2-1,Ni1-Te2,1774.7332295973952,309.062,0.8362351851130537
2AsSnTe3-1,As1-Sn1-Te3,1775.6315156056698,309.147,0.9398204959591673
2BrRhS-2,Br1-Rh1-S1,1764.6829979898362,309.213,0.8375789450446776
2IRhSe-1,I1-Rh1-Se1,1770.2891886867542,309.5795,0.8381197874969919
2WF2O2-1,F2-O2-W1,1770.7793248172036,309.6105,0.8314574629874816
4FNZr-1,F1-N1-Zr1,1761.3116041584947,310.0545,0.8364919803535477
1AlNaAs2Se6-1,Al1-As2-Na1-Se6,1763.850031947293,310.094,0.8379345316942983
1AgCuI2-1,Ag1-Cu1-I2,1765.921678566503,310.3675,0.8367341495417803
2ClFSr-1,Cl1-F1-Sr1,1768.5666709154955,310.373,0.8389033397999082
1CrW3Te8-1,Cr1-Te8-W3,1621.5517855038215,310.393,0.9081853942172305
2ClCuI2-1,Cl1-Cu1-I2,1657.1733566356256,310.5625,0.8846648623108139
2IIn-2,I1-In1,1765.2874054724643,310.9395,0.8385856726376978
2HKTe-1,H1-K1-Te1,1764.0034994588643,312.6285,0.8390307721654979
1SrCl2-1,Cl2-Sr1,1755.7254336461192,313.245,0.8346867913172312
1AsITe-1,As1-I1-Te1,1768.9326043755839,313.466,0.8264116584971763
2CaHI-1,Ca1-H1-I1,1754.9651994793453,314.769,0.8379391393046471
