uid,comp_key,gap,gap_hse,gap_gw,E_pred,E_sd,mahalanobis,in_anchor_box
2FHfN-1,F1-Hf1-N1,2.3083867123026724,3.5497319843159034,,4.581996,0.25754613,1.8663122627190196,True
1HfW2O8-1,Hf1-O8-W2,3.6353707549177834,5.420085263094771,,6.9886866,0.27732903,3.5070441926208,True
1ZrW2O8-1,O8-W2-Zr1,3.4859994351622325,5.321061306270534,,6.8268886,0.2699172,3.7740592810664775,True
2FNZr-1,F1-N1-Zr1,2.342407261351414,3.5658195476597268,,4.614104,0.26697937,1.771732752884173,True
1CF2Sc2-1,C1-F2-Sc2,1.0195431544119735,2.0665830480106697,,2.6005275,0.2554564,2.049665937218605,True
1Ta2W2O11-1,O11-Ta2-W2,2.747678756802463,4.548981950507414,,5.7832885,0.27165812,4.044977892059998,True
1BaCl2-1,Ba1-Cl2,5.618229366763851,6.916304949670295,9.206941104853309,9.20578,0.27385375,3.457022980235868,True
1CF2Y2-1,C1-F2-Y2,1.117494683708705,1.966112852815507,,2.515216,0.2660017,1.0672666770930643,True
2ZrO3-1,O3-Zr1,3.5863286119644755,5.759643369732689,,7.33724,0.28734183,5.15580017970036,True
1HfMo2O8-1,Hf1-Mo2-O8,3.3107774098316867,5.133859705299372,,6.5858517,0.27286813,3.8089108755235532,True
1ZrMo2O8-1,Mo2-O8-Zr1,3.205209813605472,5.053658305514012,,6.4554586,0.2686086,3.972905680335704,True
2SbScO3-1,O3-Sb1-Sc1,3.3755316387584027,5.077438341403328,,6.5488367,0.2641696,3.2767840073390913,True
1SrCl2-1,Cl2-Sr1,5.738033298715962,7.047010997614251,9.501762974783915,9.373676,0.25761816,3.5660693900283005,True
1CdIn2F8-1,Cd1-F8-In2,3.9771953418927253,6.03510030018629,,7.741037,0.2817011,4.471603940296223,True
1Nb2W2O11-1,Nb2-O11-W2,2.3453287914097434,4.194993443316678,,5.287796,0.2790735,4.547506360453104,True
2HfO3-1,Hf1-O3,3.470314449142186,5.74718813882467,,7.2983527,0.28762606,5.676229742627251,True
2ClTaO2-1,Cl1-O2-Ta1,2.3669837293472207,4.040024234385061,,5.1128917,0.27070823,3.7360158964680292,True
1N2O2Zr3-1,N2-O2-Zr3,0.40056463904407136,0.6158245232797013,,0.8501323,0.268256,1.5376439120718535,True
1CaCl2-1,Ca1-Cl2,5.783509188690621,7.440699079502503,9.883013327683699,9.821249,0.27569917,3.511622514807361,True
1N2O2Hf3-1,Hf3-N2-O2,0.31978003696757185,0.5080412165142487,,0.70466626,0.26807532,1.6182408491673543,False
1ZnF2-1,F2-Zn1,4.505831697772569,7.04070118337718,,8.980882,0.295553,6.20405215650053,True
2AlClO-1,Al1-Cl1-O1,5.728716402441362,7.217401276258211,,9.549788,0.28033996,3.4242004454744417,True
2YCl3-1,Cl3-Y1,5.1126171768740125,6.725866120971198,,8.8431015,0.2709803,3.074768905747956,True
2BrTaO2-1,Br1-O2-Ta1,1.643527278789879,3.107046506666974,,3.906319,0.2825195,3.358642050170306,True
1CHf2O2-1,C1-Hf2-O2,0.9379540178304089,1.680981711677902,,2.1481566,0.25768995,0.8389531024654127,True
2FNTi-1,F1-N1-Ti1,0.7292660092798031,2.3281383848426733,,2.7809465,0.28212917,4.829250572870233,True
1CO2Zr2-1,C1-O2-Zr2,0.9504770541077572,1.7285235727897732,,2.214998,0.26602423,0.9605986901335958,True
1CdF2-1,Cd1-F2,3.806965817767722,5.854292806657696,,7.5024366,0.29197222,4.504920187945594,True
4VO2-1,O2-V1,0.3043577292641606,1.5521383552032275,,1.8055805,0.27506074,3.6945948525852614,True
